DATE,G,A,TKA,Season,Player,MonthOrPlayoff
Tue 3/2,0,1,0,2020-21,Evgeni Malkin,N
Sun 2/28,0,0,0,2020-21,Evgeni Malkin,N
Sat 2/27,0,1,1,2020-21,Evgeni Malkin,N
Thu 2/25,0,0,0,2020-21,Evgeni Malkin,N
Tue 2/23,1,0,2,2020-21,Evgeni Malkin,N
Sat 2/20,0,1,0,2020-21,Evgeni Malkin,N
Thu 2/18,0,2,2,2020-21,Evgeni Malkin,N
Tue 2/16,0,0,1,2020-21,Evgeni Malkin,N
Sun 2/14,0,0,3,2020-21,Evgeni Malkin,N
Thu 2/11,1,0,1,2020-21,Evgeni Malkin,N
Sat 2/6,1,0,0,2020-21,Evgeni Malkin,N
Mon 2/1,0,1,0,2020-21,Evgeni Malkin,N
Sat 1/30,0,1,1,2020-21,Evgeni Malkin,N
Thu 1/28,0,0,2,2020-21,Evgeni Malkin,N
Tue 1/26,0,1,1,2020-21,Evgeni Malkin,N
Sun 1/24,0,0,0,2020-21,Evgeni Malkin,N
Fri 1/22,0,1,2,2020-21,Evgeni Malkin,N
Tue 1/19,1,0,0,2020-21,Evgeni Malkin,N
Sun 1/17,0,0,2,2020-21,Evgeni Malkin,N
Fri 1/15,0,0,0,2020-21,Evgeni Malkin,N
Wed 1/13,0,0,1,2020-21,Evgeni Malkin,N
Fri 8/7,0,0,1,2019-20,Evgeni Malkin,Y
Wed 8/5,0,1,1,2019-20,Evgeni Malkin,Y
Mon 8/3,0,0,0,2019-20,Evgeni Malkin,Y
Sat 8/1,0,0,0,2019-20,Evgeni Malkin,Y
Tue 3/10,2,1,2,2019-20,Evgeni Malkin,N
Sun 3/8,1,0,0,2019-20,Evgeni Malkin,N
Sat 3/7,1,0,3,2019-20,Evgeni Malkin,N
Thu 3/5,0,2,0,2019-20,Evgeni Malkin,N
Tue 3/3,0,4,1,2019-20,Evgeni Malkin,N
Sat 2/29,0,0,0,2019-20,Evgeni Malkin,N
Fri 2/28,0,0,0,2019-20,Evgeni Malkin,N
Wed 2/26,0,1,0,2019-20,Evgeni Malkin,N
Sun 2/23,1,1,3,2019-20,Evgeni Malkin,N
Sat 2/22,2,0,3,2019-20,Evgeni Malkin,N
Thu 2/20,0,0,0,2019-20,Evgeni Malkin,N
Sun 2/16,0,0,1,2019-20,Evgeni Malkin,N
Fri 2/14,0,0,1,2019-20,Evgeni Malkin,N
Tue 2/11,1,0,0,2019-20,Evgeni Malkin,N
Sat 2/8,0,1,1,2019-20,Evgeni Malkin,N
Thu 2/6,1,1,2,2019-20,Evgeni Malkin,N
Sun 2/2,0,1,1,2019-20,Evgeni Malkin,N
Fri 1/31,1,2,1,2019-20,Evgeni Malkin,N
Tue 1/21,0,0,1,2019-20,Evgeni Malkin,N
Sun 1/19,0,1,0,2019-20,Evgeni Malkin,N
Fri 1/17,0,2,1,2019-20,Evgeni Malkin,N
Thu 1/16,0,0,1,2019-20,Evgeni Malkin,N
Tue 1/14,2,1,2,2019-20,Evgeni Malkin,N
Sun 1/12,0,2,0,2019-20,Evgeni Malkin,N
Fri 1/10,1,1,3,2019-20,Evgeni Malkin,N
Tue 1/7,1,0,0,2019-20,Evgeni Malkin,N
Sun 1/5,0,0,0,2019-20,Evgeni Malkin,N
Sat 1/4,0,1,1,2019-20,Evgeni Malkin,N
Thu 1/2,0,0,0,2019-20,Evgeni Malkin,N
Mon 12/30,2,1,2,2019-20,Evgeni Malkin,N
Sat 12/28,0,3,2,2019-20,Evgeni Malkin,N
Fri 12/27,0,1,4,2019-20,Evgeni Malkin,N
Sat 12/21,0,1,2,2019-20,Evgeni Malkin,N
Fri 12/20,0,1,1,2019-20,Evgeni Malkin,N
Tue 12/17,1,1,2,2019-20,Evgeni Malkin,N
Tue 12/10,0,1,2,2019-20,Evgeni Malkin,N
Sat 12/7,1,2,1,2019-20,Evgeni Malkin,N
Fri 12/6,1,0,0,2019-20,Evgeni Malkin,N
Wed 12/4,0,0,0,2019-20,Evgeni Malkin,N
Sat 11/30,0,1,1,2019-20,Evgeni Malkin,N
Fri 11/29,0,2,2,2019-20,Evgeni Malkin,N
Wed 11/27,2,3,1,2019-20,Evgeni Malkin,N
Mon 11/25,0,0,2,2019-20,Evgeni Malkin,N
Fri 11/22,0,1,2,2019-20,Evgeni Malkin,N
Thu 11/21,1,1,1,2019-20,Evgeni Malkin,N
Tue 11/19,0,2,3,2019-20,Evgeni Malkin,N
Sat 11/16,1,1,1,2019-20,Evgeni Malkin,N
Fri 11/15,0,0,4,2019-20,Evgeni Malkin,N
Tue 11/12,0,1,1,2019-20,Evgeni Malkin,N
Sat 11/9,0,2,0,2019-20,Evgeni Malkin,N
Thu 11/7,1,1,1,2019-20,Evgeni Malkin,N
Mon 11/4,0,1,2,2019-20,Evgeni Malkin,N
Sat 11/2,0,0,2,2019-20,Evgeni Malkin,N
Sat 10/5,0,0,2,2019-20,Evgeni Malkin,N
Thu 10/3,1,0,1,2019-20,Evgeni Malkin,N
Tue 4/16,0,0,1,2018-19,Evgeni Malkin,Y
Sun 4/14,0,0,1,2018-19,Evgeni Malkin,Y
Fri 4/12,0,1,0,2018-19,Evgeni Malkin,Y
Wed 4/10,1,1,3,2018-19,Evgeni Malkin,Y
Sat 4/6,0,0,1,2018-19,Evgeni Malkin,N
Thu 4/4,0,1,0,2018-19,Evgeni Malkin,N
Sat 3/16,0,0,1,2018-19,Evgeni Malkin,N
Thu 3/14,0,1,0,2018-19,Evgeni Malkin,N
Tue 3/12,0,2,2,2018-19,Evgeni Malkin,N
Sun 3/10,0,0,0,2018-19,Evgeni Malkin,N
Sat 3/9,0,1,1,2018-19,Evgeni Malkin,N
Thu 3/7,0,1,0,2018-19,Evgeni Malkin,N
Tue 3/5,0,0,1,2018-19,Evgeni Malkin,N
Sat 3/2,1,0,0,2018-19,Evgeni Malkin,N
Fri 3/1,0,1,0,2018-19,Evgeni Malkin,N
Tue 2/26,1,0,1,2018-19,Evgeni Malkin,N
Sat 2/23,1,0,1,2018-19,Evgeni Malkin,N
Thu 2/21,0,0,1,2018-19,Evgeni Malkin,N
Tue 2/19,0,1,0,2018-19,Evgeni Malkin,N
Sun 2/17,2,0,0,2018-19,Evgeni Malkin,N
Sat 2/16,2,1,2,2018-19,Evgeni Malkin,N
Mon 2/11,0,1,0,2018-19,Evgeni Malkin,N
Wed 1/30,0,2,1,2018-19,Evgeni Malkin,N
Mon 1/28,0,1,0,2018-19,Evgeni Malkin,N
Sat 1/19,0,1,0,2018-19,Evgeni Malkin,N
Fri 1/18,0,1,1,2018-19,Evgeni Malkin,N
Tue 1/15,0,0,3,2018-19,Evgeni Malkin,N
Sat 1/12,0,1,0,2018-19,Evgeni Malkin,N
Fri 1/11,1,3,1,2018-19,Evgeni Malkin,N
Tue 1/8,0,1,1,2018-19,Evgeni Malkin,N
Sun 1/6,0,1,1,2018-19,Evgeni Malkin,N
Fri 1/4,0,1,2,2018-19,Evgeni Malkin,N
Wed 1/2,1,1,1,2018-19,Evgeni Malkin,N
Mon 12/31,0,0,1,2018-19,Evgeni Malkin,N
Sat 12/29,1,0,1,2018-19,Evgeni Malkin,N
Thu 12/27,0,2,2,2018-19,Evgeni Malkin,N
Sat 12/22,0,0,0,2018-19,Evgeni Malkin,N
Thu 12/20,0,0,1,2018-19,Evgeni Malkin,N
Wed 12/19,0,1,0,2018-19,Evgeni Malkin,N
Mon 12/17,1,0,0,2018-19,Evgeni Malkin,N
Sat 12/15,0,1,1,2018-19,Evgeni Malkin,N
Fri 12/14,0,1,2,2018-19,Evgeni Malkin,N
Wed 12/12,0,0,1,2018-19,Evgeni Malkin,N
Mon 12/10,0,0,1,2018-19,Evgeni Malkin,N
Sat 12/8,0,0,2,2018-19,Evgeni Malkin,N
Thu 12/6,0,1,1,2018-19,Evgeni Malkin,N
Tue 12/4,1,1,3,2018-19,Evgeni Malkin,N
Sat 12/1,0,0,2,2018-19,Evgeni Malkin,N
Wed 11/28,0,0,1,2018-19,Evgeni Malkin,N
Tue 11/27,0,0,1,2018-19,Evgeni Malkin,N
Sat 11/24,0,1,0,2018-19,Evgeni Malkin,N
Fri 11/23,1,0,2,2018-19,Evgeni Malkin,N
Wed 11/21,1,0,0,2018-19,Evgeni Malkin,N
Mon 11/19,0,2,2,2018-19,Evgeni Malkin,N
Sat 11/17,0,2,0,2018-19,Evgeni Malkin,N
Thu 11/15,0,2,4,2018-19,Evgeni Malkin,N
Tue 11/13,0,1,2,2018-19,Evgeni Malkin,N
Sat 11/10,0,0,1,2018-19,Evgeni Malkin,N
Wed 11/7,0,0,2,2018-19,Evgeni Malkin,N
Mon 11/5,0,0,0,2018-19,Evgeni Malkin,N
Sat 11/3,0,0,0,2018-19,Evgeni Malkin,N
